ID,Longitude,Latitude,title,type,note,date
,138.91937,35.1971,350,syoukasen,,2014/2/22 0:00
,138.91818,35.19686,351,syoukasen, ,2014/2/22 0:00
,138.9172,35.19636,352,syoukasen,,2014/2/22 0:00
,138.91724,35.19757,353,syoukasen, ,2014/2/22 0:00
,138.91846,35.19782,354,syoukasen,,2014/2/22 0:00
,138.91845,35.19907,355,syoukasen, ,2014/2/22 0:00
,138.91859,35.19983,356,syoukasen,,2014/2/22 0:00
,138.91736,35.19915,357,syoukasen, ,2014/2/22 0:00
,138.91646,35.19967,358,syoukasen,,2014/2/22 0:00
,138.91586,35.19826,359,syoukasen, ,2014/2/22 0:00
,138.91528,35.19773,360,syoukasen,,2014/2/22 0:00
,138.91467,35.19752,361,syoukasen, ,2014/2/22 0:00
,138.9124,35.19898,362,syoukasen,,2014/2/22 0:00
,138.91116,35.19934,363,syoukasen, ,2014/2/22 0:00
,138.90879,35.1991,364,syoukasen,,2014/2/22 0:00
,138.90977,35.19755,365,syoukasen, ,2014/2/22 0:00
,138.90861,35.19731,366,syoukasen,,2014/2/22 0:00
,138.90909,35.19664,367,syoukasen, ,2014/2/22 0:00
,138.91189,35.19517,368,syoukasen,,2014/2/22 0:00
,138.90801,35.19573,369,syoukasen, ,2014/2/22 0:00
,138.90744,35.1972,370,syoukasen,,2014/2/22 0:00
,138.90655,35.19666,371,syoukasen, ,2014/2/22 0:00
,138.90557,35.19741,372,syoukasen,,2014/2/22 0:00
,138.90448,35.19676,373,syoukasen, ,2014/2/22 0:00
,138.90455,35.19795,374,syoukasen,,2014/2/22 0:00
,138.90326,35.19881,375,syoukasen, ,2014/2/22 0:00
,138.90175,35.19835,376,syoukasen,,2014/2/22 0:00
,138.90183,35.1997,377,syoukasen, ,2014/2/22 0:00
,138.90103,35.19973,378,syoukasen,,2014/2/22 0:00
,138.90009,35.19844,379,syoukasen, ,2014/2/22 0:00
,138.89913,35.19714,380,syoukasen,,2014/2/22 0:00
,138.88798,35.19615,381,syoukasen, ,2014/2/22 0:00
,138.88703,35.19652,382,syoukasen,,2014/2/22 0:00
,138.88971,35.19908,383,syoukasen, ,2014/2/22 0:00
,138.89022,35.19927,384,syoukasen,,2014/2/22 0:00
,138.8882,35.19976,385,syoukasen, ,2014/2/22 0:00
,138.88767,35.19949,386,syoukasen,,2014/2/22 0:00
,138.88713,35.1998,387,syoukasen, ,2014/2/22 0:00
,138.88617,35.19854,388,syoukasen,,2014/2/22 0:00
,138.8852,35.19896,389,syoukasen, ,2014/2/22 0:00
,138.8846,35.19877,390,syoukasen,,2014/2/22 0:00
,138.88396,35.1994,391,syoukasen, ,2014/2/22 0:00
,138.88557,35.19653,392,syoukasen,,2014/2/22 0:00
,138.88434,35.19643,393,syoukasen, ,2014/2/22 0:00
,138.88359,35.19686,394,syoukasen,,2014/2/22 0:00
,138.88367,35.19766,395,syoukasen, ,2014/2/22 0:00
,138.88306,35.19815,396,syoukasen,,2014/2/22 0:00
,138.8829,35.19851,397,syoukasen, ,2014/2/22 0:00
,138.88262,35.19939,398,syoukasen,,2014/2/22 0:00
,138.8813,35.19886,399,syoukasen, ,2014/2/22 0:00
,138.88193,35.19802,400,syoukasen,,2014/2/22 0:00
,138.88198,35.19717,401,syoukasen, ,2014/2/22 0:00
,138.88239,35.19708,402,syoukasen,,2014/2/22 0:00
,138.88126,35.19651,403,syoukasen, ,2014/2/22 0:00
,138.88113,35.19572,404,syoukasen,,2014/2/22 0:00
,138.88172,35.19515,405,syoukasen, ,2014/2/22 0:00
,138.8799,35.19645,406,syoukasen,,2014/2/22 0:00
,138.88005,35.19797,407,syoukasen, ,2014/2/22 0:00
,138.88004,35.19842,408,syoukasen,,2014/2/22 0:00
,138.87985,35.19917,409,syoukasen, ,2014/2/22 0:00
,138.87929,35.19865,410,syoukasen,,2014/2/22 0:00
,138.87935,35.19697,411,syoukasen, ,2014/2/22 0:00
,138.87896,35.19633,412,syoukasen,,2014/2/22 0:00
,138.87875,35.19894,413,syoukasen, ,2014/2/22 0:00
,138.87809,35.19969,414,syoukasen,,2014/2/22 0:00
,138.87792,35.19878,415,syoukasen, ,2014/2/22 0:00
,138.87763,35.19788,416,syoukasen,,2014/2/22 0:00
,138.87844,35.19761,417,syoukasen, ,2014/2/22 0:00
,138.88283,35.19494,418,syoukasen,,2014/2/22 0:00
,138.88328,35.19458,419,syoukasen, ,2014/2/22 0:00
,138.88136,35.19444,420,syoukasen,,2014/2/22 0:00
,138.88338,35.19322,421,syoukasen, ,2014/2/22 0:00
,138.87915,35.20004,422,syoukasen,,2014/2/22 0:00
,138.87839,35.2014,423,syoukasen, ,2014/2/22 0:00
,138.87704,35.20173,424,syoukasen,,2014/2/22 0:00
,138.88126,35.20073,425,syoukasen, ,2014/2/22 0:00
,138.88231,35.20047,426,syoukasen,,2014/2/22 0:00
,138.88395,35.20045,427,syoukasen, ,2014/2/22 0:00
,138.88547,35.20091,428,syoukasen,,2014/2/22 0:00
,138.8863,35.19998,429,syoukasen, ,2014/2/22 0:00
,138.88824,35.20049,430,syoukasen,,2014/2/22 0:00
,138.88977,35.19996,431,syoukasen, ,2014/2/22 0:00
,138.88934,35.2004,432,syoukasen,,2014/2/22 0:00
,138.88881,35.20266,433,syoukasen, ,2014/2/22 0:00
,138.89072,35.20246,434,syoukasen,,2014/2/22 0:00
,138.89155,35.20342,435,syoukasen, ,2014/2/22 0:00
,138.89143,35.20402,436,syoukasen,,2014/2/22 0:00
,138.89427,35.20307,437,syoukasen, ,2014/2/22 0:00
,138.89425,35.20173,438,syoukasen,,2014/2/22 0:00
,138.89687,35.20201,439,syoukasen, ,2014/2/22 0:00
,138.89825,35.20186,440,syoukasen,,2014/2/22 0:00
,138.89792,35.20321,441,syoukasen, ,2014/2/22 0:00
